layer,distance,elevation
_571a553a_2d52_49dd_b15b_845a9e671e13,0.676394931,217.9375
_571a553a_2d52_49dd_b15b_845a9e671e13,1.565059081,217.9375
_571a553a_2d52_49dd_b15b_845a9e671e13,2.023617723,217.9375
_571a553a_2d52_49dd_b15b_845a9e671e13,2.912281873,217.9375
_571a553a_2d52_49dd_b15b_845a9e671e13,3.800946023,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,4.259504665,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,5.148168816,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,6.036832966,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,6.495391608,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,7.384055758,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,8.272719908,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,8.73127855,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,9.6199427,217.8828125
_571a553a_2d52_49dd_b15b_845a9e671e13,10.50860685,217.8828125
_571a553a_2d52_49dd_b15b_845a9e671e13,10.96716549,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,11.85582964,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,12.74449379,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,13.20305243,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,14.09171659,217.8671875
_571a553a_2d52_49dd_b15b_845a9e671e13,14.98038074,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,15.43893938,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,16.32760353,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,17.21626768,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,17.67482632,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,18.56349047,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,19.45215462,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,19.91071326,217.875
_571a553a_2d52_49dd_b15b_845a9e671e13,20.79937741,217.890625
_571a553a_2d52_49dd_b15b_845a9e671e13,21.68804156,217.890625
_571a553a_2d52_49dd_b15b_845a9e671e13,22.1466002,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,23.03526435,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,23.92392851,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,24.38248715,217.8945313
_571a553a_2d52_49dd_b15b_845a9e671e13,25.2711513,217.9179688
_571a553a_2d52_49dd_b15b_845a9e671e13,26.15981545,217.9179688
_571a553a_2d52_49dd_b15b_845a9e671e13,26.61837409,217.9179688
_571a553a_2d52_49dd_b15b_845a9e671e13,27.50703824,217.9179688
_571a553a_2d52_49dd_b15b_845a9e671e13,28.39570239,217.9179688
_571a553a_2d52_49dd_b15b_845a9e671e13,28.85426103,217.9179688
_571a553a_2d52_49dd_b15b_845a9e671e13,29.74292518,217.9179688
_571a553a_2d52_49dd_b15b_845a9e671e13,30.63158933,217.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,31.1028727,217.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,31.99153685,217.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,32.880201,217.9453125
_571a553a_2d52_49dd_b15b_845a9e671e13,33.33875965,218.015625
_571a553a_2d52_49dd_b15b_845a9e671e13,34.2274238,218.015625
_571a553a_2d52_49dd_b15b_845a9e671e13,35.11608795,218.015625
_571a553a_2d52_49dd_b15b_845a9e671e13,35.57464659,218.015625
_571a553a_2d52_49dd_b15b_845a9e671e13,36.46331074,218.0859375
_571a553a_2d52_49dd_b15b_845a9e671e13,37.35197489,218.0859375
_571a553a_2d52_49dd_b15b_845a9e671e13,37.81053353,218.0859375
_571a553a_2d52_49dd_b15b_845a9e671e13,38.69919768,218.0859375
_571a553a_2d52_49dd_b15b_845a9e671e13,39.15775632,218.0859375
_571a553a_2d52_49dd_b15b_845a9e671e13,40.04642047,218.0859375
_571a553a_2d52_49dd_b15b_845a9e671e13,40.93508462,218.0859375
_571a553a_2d52_49dd_b15b_845a9e671e13,41.39364327,218.2226563
_571a553a_2d52_49dd_b15b_845a9e671e13,42.28230742,218.3320313
_571a553a_2d52_49dd_b15b_845a9e671e13,43.17097157,218.3320313
_571a553a_2d52_49dd_b15b_845a9e671e13,43.62953021,218.3320313
_571a553a_2d52_49dd_b15b_845a9e671e13,44.51819436,218.3320313
_571a553a_2d52_49dd_b15b_845a9e671e13,45.40685851,218.3320313
_571a553a_2d52_49dd_b15b_845a9e671e13,45.86541715,218.3320313
_571a553a_2d52_49dd_b15b_845a9e671e13,46.7540813,218.4453125
_571a553a_2d52_49dd_b15b_845a9e671e13,47.64274545,218.4453125
_571a553a_2d52_49dd_b15b_845a9e671e13,48.10130409,218.4453125
_571a553a_2d52_49dd_b15b_845a9e671e13,48.98996824,218.4453125
_571a553a_2d52_49dd_b15b_845a9e671e13,49.87863239,218.4453125
_571a553a_2d52_49dd_b15b_845a9e671e13,50.33719104,218.4453125
_571a553a_2d52_49dd_b15b_845a9e671e13,51.22585519,218.4453125
_571a553a_2d52_49dd_b15b_845a9e671e13,52.11451934,218.5507813
_571a553a_2d52_49dd_b15b_845a9e671e13,52.57307798,218.6914063
_571a553a_2d52_49dd_b15b_845a9e671e13,53.46174213,218.6914063
_571a553a_2d52_49dd_b15b_845a9e671e13,54.35040628,218.6914063
_571a553a_2d52_49dd_b15b_845a9e671e13,54.80896492,218.6914063
_571a553a_2d52_49dd_b15b_845a9e671e13,55.69762907,218.6914063
_571a553a_2d52_49dd_b15b_845a9e671e13,56.58629322,218.6914063
_571a553a_2d52_49dd_b15b_845a9e671e13,57.04485186,218.6914063
_571a553a_2d52_49dd_b15b_845a9e671e13,57.93351601,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,58.82218016,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,59.28073881,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,60.16940296,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,61.05806711,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,61.51662575,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,62.4052899,218.78125
_571a553a_2d52_49dd_b15b_845a9e671e13,63.29395405,218.8789063
_571a553a_2d52_49dd_b15b_845a9e671e13,63.75251269,218.9882813
_571a553a_2d52_49dd_b15b_845a9e671e13,64.64117684,218.9882813
_571a553a_2d52_49dd_b15b_845a9e671e13,65.52984099,218.9882813
_571a553a_2d52_49dd_b15b_845a9e671e13,65.98839963,218.9882813
_571a553a_2d52_49dd_b15b_845a9e671e13,66.87706378,218.9882813
_571a553a_2d52_49dd_b15b_845a9e671e13,67.76572793,218.9882813
_571a553a_2d52_49dd_b15b_845a9e671e13,68.22428657,218.9882813
_571a553a_2d52_49dd_b15b_845a9e671e13,69.11295072,219.0820313
_571a553a_2d52_49dd_b15b_845a9e671e13,70.00161488,219.0820313
_571a553a_2d52_49dd_b15b_845a9e671e13,70.46017352,219.0820313
_571a553a_2d52_49dd_b15b_845a9e671e13,71.34883767,219.0820313
_571a553a_2d52_49dd_b15b_845a9e671e13,72.24406338,219.0820313
_571a553a_2d52_49dd_b15b_845a9e671e13,72.70262202,219.0820313
_571a553a_2d52_49dd_b15b_845a9e671e13,73.59128617,219.1796875
